"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","1200000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","475000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","155000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","195000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","318919","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","430000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","110000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","105000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","205000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","117538","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","200000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","180000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","170000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","143000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","160000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","442900","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","391900","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","297800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","221950","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","233800","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","315500","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","400000","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2624800","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2730031","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2672100","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2560100","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2441200","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2487300","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2794100","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2600600","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2783700","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2881500","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3198000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3211000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3125300","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2927800","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2750600","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2701000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3439000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3040900","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3079800","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3191816","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3564100","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3709100","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3157100","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3359000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3588290","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3575500","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3626500","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3695200","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3559200","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3676418","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3623500","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3824500","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3885300","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","330000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","588531","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","690000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","920000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","985000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","825000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","750000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","813000","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","935000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1251000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1727000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1750000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1335000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1269000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1825000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1984000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1400000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1435000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1745000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2405000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3445000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2557775","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2505000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2720000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3120000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4035000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","5568500","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4405000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3768100","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3780500","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4232800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4200686","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4321300","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3668500","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3828900","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","570000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","278927","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","295000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","470000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","800000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","660000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","591000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","722000","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","700000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","692000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","525000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","410000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","715000","","","","0"
